Sr.No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR_Result
1,SSBS/M/2021/1,S/1,10/4/2021,Sanjeevan hospital Kothrud,Genepath,0,0,0,Negative
2,SSBS/M/2021/2,S/2,10/4/2021,Kothrud Bus depot,Genepath,0,0,0,Negative
3,SSBS/M/2021/3,S/3,10/4/2021,Karve road Kothrud,Genepath,0,0,0,Negative
4,SSBS/M/2021/4,S/4,10/4/2021,Warje Mumbai/Bangalore Highway,Genepath,0,0,0,Negative
5,SSBS/M/2021/5,S/5,10/4/2021,Shivajinagar,Genepath,0,0,0,Negative
6,SSBS/M/2021/6,S/6,10/4/2021,"Pune/Mumbai Highway NH, Shivajinagar",Genepath,0,0,0,Negative
7,SSBS/M/2021/7,S/7,10/5/2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
8,SSBS/M/2021/8,S/8,10/5/2021,Baner/Balewadi,Genepath,0,0,0,Negative
9,SSBS/M/2021/9,S/9,10/5/2021,Jai bhavani nagar pashan,Genepath,0,0,0,Negative
10,SSBS/M/2021/10,S/10,10/5/2021,Someshwarwadi,Genepath,0,0,0,Negative
11,SSBS/M/2021/11,S/11,10/6/2021,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
12,SSBS/M/2021/12,S/12,10/6/2021,"Vitthalwadi hingne, off sinhagad road",Genepath,0,0,0,Negative
13,SSBS/M/2021/13,S/13,10/6/2021,Shivajinagar Juna bazaar,Genepath,0,0,0,Negative
14,SSBS/M/2021/14,S/14,10/6/2021,RTO office Yerwada,Genepath,0,0,0,Negative
15,SSBS/M/2021/15,S/15,10/7/2021,"Chinchwad, Aditya birla hospital",Genepath,0,0,0,Negative
16,SSBS/M/2021/16,S/16,10/7/2021,"Shastrinagar, pimpri",Genepath,0,0,0,Negative
17,SSBS/M/2021/17,S/17,10/7/2021,kasarwadi pimple gurav road,Genepath,0,0,0,Negative
18,SSBS/M/2021/18,S/18,10/7/2021,"Pimple gurav, 60 feet road",Genepath,0,0,0,Negative
19,SSBS/M/2021/19,S/19,10/7/2021,Dapodi / Old sangvi Bridge,Genepath,31.6,33.2,33.7,Positive
20,SSBS/M/2021/20,S/20,10/8/2021,Rahatni new DP road,Genepath,35.6,0,35.7,Positive
21,SSBS/M/2021/21,S/21,10/8/2021,Kalewadi Adarsh Nagar,Genepath,36.9,0,37.8,Positive
22,SSBS/M/2021/22,S/22,10/8/2021,"Wolf Colony, Pimpri",Genepath,40,0,0,Negative
23,SSBS/M/2021/23,S/23,10/8/2021,"Phugewadi/Dapodi, sai service",Genepath,37.5,0,37.5,Negative
24,SSBS/M/2021/24,S/24,10/8/2021,"Harris Bridge, Dapodi",Genepath,0,0,0,Negative
