Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
SSBS/M/2021/11,S/11,6/10/2021,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/M/2021/59,S/59,20/10/2021,Dattawadi under rajaram bridge,Genepath,36.4,36.5,37.8,Positive
SSBS/M/2021/87,S/87,27/10/2021,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/W/2021/93,S/93,9/11/2021,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/W/2021/128,S/128,17/11/2021,Dattawadi under rajaram bridge,Genepath,0,39.1,0,Negative
SSBS/W/2021/156,S/156,24/11/2021,Dattawadi under rajaram bridge,Genepath,0,0,40.5,Negative
SSBS/W/2021/185,S/185,1/12/2021,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/W/2021/216,S/216,8/12/2021,Dattawadi under rajaram bridge,Genepath,36.7,0,0,Negative
SSBS/W/2021/240,S/240,15/12/2021,Dattawadi under rajaram bridge,Genepath,22,0,32,Positive
SSBS/W/2021/268,S/268,22/12/2021,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/W/2021/295,S/295,29/12/2021,Dattawadi under rajaram bridge,Genepath,32.7,37,34.9,Positive
SSBS/W/2022/317,S/317,4/1/2022,Dattawadi under rajaram bridge,Genepath,33.9,36.4,34.4,Positive
SSBS/W/2022/355,S/355,12/1/2022,Dattawadi under rajaram bridge,Genepath,28.83,32.55,32.21,Positive
SSBS/W/2022/379,S/379,19/01/2022,Dattawadi under rajaram bridge,Genepath,32.9,34.7,34.1,Positive
SSBS/W/2022/406,S/406,27/01/2022,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/W/2022/434,S/434,2/2/2022,Dattawadi under rajaram bridge,Genepath,30,34.66,33.45,Positive
SSBS/S/2022/462,S/462,9/2/2022,Dattawadi under rajaram bridge,Genepath,35.5,36.86,36.21,Positive
SSBS/S/2022/490,S/490,16/02/2022,Dattawadi under rajaram bridge,Genepath,33.5,35.5,34.4,Positive
SSBS/S/2022/518,S/518,23/02/2022,Dattawadi under rajaram bridge,Genepath,36.63,39.09,35.14,Positive
SSBS/S/2022/550,S/550,2/3/2022,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/S/2022/574,S/574,9/3/2022,Dattawadi under rajaram bridge,Genepath,38.88,0,39.55,Negative
SSBS/S/2022/602,S/602,16/03/2022,Dattawadi under rajaram bridge,Genepath,0,39.36,0,Negative
SSBS/S/2022/625,S/625,23/03/2022,Dattawadi under rajaram bridge,Genepath,0,34.76,0,Negative
SSBS/S/2022/653,S/653,30/03/2022,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/S/2022/681,S/681,6/4/2022,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/S/2022/709,S/709,13/04/2022,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/S/2022/737,S/737,21/04/2022,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/S/2022/764,S/764,27/04/2022,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/S/2022/810,S/810,11/5/2022,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/S/2022/838,S/838,18/05/2022,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/S/2022/866,S/866,25/05/2022,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/S/2022/894,S/894,1/6/2022,Dattawadi under rajaram bridge,Genepath,0,34.66,0,Negative
SSBS/S/2022/921,S/921,8/6/2022,Dattawadi under rajaram bridge,Genepath,32.36,34.59,33.8,Positive
SSBS/S/2022/948,S/948,15/06/2022,Dattawadi under rajaram bridge,Genepath,30.4,35.2,34.4,Positive
SSBS/S/2022/975,S/975,22/06/2023,Dattawadi under rajaram bridge,Genepath,27,31,30,Positive
SSBS/S/2022/1004,S/1004,29/06/2022,Dattawadi under rajaram bridge,Genepath,36.5,39.9,37.2,Negative
SSBS/M/2022/1027,S/1027,6/7/2022,Dattawadi under rajaram bridge,Genepath,28.6,32.4,31.8,Positive
SSBS/M/2022/1054,S/1054,13/07/2022,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/M/2022/1079,S/1079,20/07/2022,Dattawadi under rajaram bridge,Genepath,28.5,32.9,32,Positive
SSBS/M/2022/1102,S/1102,27/07/2022,Dattawadi under rajaram bridge,Genepath,34.1,38.5,36.9,Negative
SSBS/M/2022/1128,S/1128,3/8/2022,Dattawadi under rajaram bridge,Genepath,30.75,35.52,34.12,Positive
SSBS/M/2022/1157,S/1157,10/8/2022,Dattawadi under rajaram bridge,Genepath,32.3,32.89,33.4,Positive
SSBS/M/2022/1169,S/1169,17/08/2022,Dattawadi under rajaram bridge,Genepath,29.39,31.87,30.53,Positive
SSBS/M/2022/1195,S/1195,25/08/2022,Dattawadi under rajaram bridge,Genepath,35.56,0,37.84,Negative
SSBS/M/2022/1232,S/1232,7/9/2022,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
SSBS/M/2022/1252,S/1252,14/09/2022,Dattawadi under rajaram bridge,Genepath,29.4897,0,34.8105,Positive
SSBS/M/2022/1274,S/1274,21/09/2022,Dattawadi under rajaram bridge,Genepath,0,37.5114,0,Negative
SSBS/M/2022/1296,S/1296,28/09/2022,Dattawadi under rajaram bridge,Genepath,0,0,0,Negative
